fileID,matFileDir,matFileName,xdfFileDir,xdfFileName,vidDir,vidFileName,date,condition,subject,trial,engagementRating,MockBCISuccess,usable,age
29,017/bci/mat/,017_bci_01_120117.mat,017/bci/xdf/,12_01_17_01.xdf,017/bci/avi/downsampled/,2017-12-01 15-45-19.avi,120117,bci,17,1,10,1,1,21
30,017/bci/mat/,017_bci_02_120117.mat,017/bci/xdf/,12_01_17_02.xdf,017/bci/avi/downsampled/,2017-12-01 15-48-52.avi,120117,bci,17,2,10,1,1,21
31,017/watch/mat/,017_watch_01_120117.mat,017/watch/xdf/,12_01_17_01.xdf,017/watch/avi/downsampled/,2017-12-01 16-04-06.avi,120117,watch,17,1,9,1,1,21
32,017/watch/mat/,017_watch_02_120117.mat,017/watch/xdf/,12_01_17_02.xdf,017/watch/avi/downsampled/,2017-12-01 16-07-56.avi,120117,watch,17,2,9,1,1,21
33,018/play/mat/,018_play_01_120117.mat,018/play/xdf/,12_01_17_01.xdf,018/play/avi/downsampled/,2017-12-01 18-46-04.avi,120117,play,18,1,8,1,1,20
34,018/play/mat/,018_play_02_120117.mat,018/play/xdf/,12_01_17_02.xdf,018/play/avi/downsampled/,2017-12-01 18-49-34.avi,120117,play,18,2,8,1,1,20
35,018/bci/mat/,018_bci_01_120117.mat,018/bci/xdf/,12_01_17_01.xdf,018/bci/avi/downsampled/,2017-12-01 18-36-12.avi,120117,bci,18,1,10,1,1,20
36,018/bci/mat/,018_bci_02_120117.mat,018/bci/xdf/,12_01_17_02.xdf,018/bci/avi/downsampled/,2017-12-01 18-39-49.avi,120117,bci,18,2,10,1,1,20
37,018/watch/mat/,018_watch_01_120117.mat,018/watch/xdf/,12_01_17_01.xdf,018/watch/avi/downsampled/,2017-12-01 18-53-27.avi,120117,watch,18,1,2,1,1,20
38,018/watch/mat/,018_watch_02_120117.mat,018/watch/xdf/,12_01_17_02.xdf,018/watch/avi/downsampled/,2017-12-01 18-56-59.avi,120117,watch,18,2,2,1,1,20
39,019/play/mat/,019_play_01_120417.mat,019/play/xdf/,12_04_17_01.xdf,019/play/avi/downsampled/,2017-12-04 21-10-02.avi,120417,play,19,1,8,1,1,19
40,019/play/mat/,019_play_02_120417.mat,019/play/xdf/,12_04_17_02.xdf,019/play/avi/downsampled/,2017-12-04 21-13-28.avi,120417,play,19,2,8,1,1,19
41,019/bci/mat/,019_bci_01_120417.mat,019/bci/xdf/,12_04_17_01.xdf,019/bci/avi/downsampled/,2017-12-04 21-00-58.avi,120417,bci,19,1,10,1,1,19
42,019/bci/mat/,019_bci_02_120417.mat,019/bci/xdf/,12_04_17_02.xdf,019/bci/avi/downsampled/,2017-12-04 21-04-42.avi,120417,bci,19,2,10,1,1,19
43,019/watch/mat/,019_watch_01_120417.mat,019/watch/xdf/,12_04_17_01.xdf,019/watch/avi/downsampled/,2017-12-04 20-44-21.avi,120417,watch,19,1,7,1,1,19
44,019/watch/mat/,019_watch_02_120417.mat,019/watch/xdf/,12_04_17_02.xdf,019/watch/avi/downsampled/,2017-12-04 20-51-26.avi,120417,watch,19,2,7,1,1,19
45,020/play/mat/,020_play_01_120517.mat,020/play/xdf/,12_05_17_01.xdf,020/play/avi/downsampled/,2017-12-05 18-08-22.avi,120517,play,20,1,10,0,1,18
46,020/play/mat/,020_play_02_120517.mat,020/play/xdf/,12_05_17_02.xdf,020/play/avi/downsampled/,2017-12-05 18-13-53.avi,120517,play,20,2,10,0,1,18
47,020/bci/mat/,020_bci_01_120517.mat,020/bci/xdf/,12_05_17_01.xdf,020/bci/avi/downsampled/,2017-12-05 17-59-00.avi,120517,bci,20,1,4,0,1,18
48,020/bci/mat/,020_bci_02_120517.mat,020/bci/xdf/,12_05_17_02.xdf,020/bci/avi/downsampled/,2017-12-05 18-03-25.avi,120517,bci,20,2,4,0,1,18
49,020/watch/mat/,020_watch_01_120517.mat,020/watch/xdf/,12_05_17_01.xdf,020/watch/avi/downsampled/,2017-12-05 17-42-48.avi,120517,watch,20,1,8,0,1,18
50,020/watch/mat/,020_watch_02_120517.mat,020/watch/xdf/,12_05_17_02.xdf,020/watch/avi/downsampled/,2017-12-05 17-46-17.avi,120517,watch,20,2,8,0,1,18
51,021/play/mat/,021_play_01_120617.mat,021/play/xdf/,12_06_17_01.xdf,021/play/avi/downsampled/,2017-12-06 16-26-00.avi,120617,play,21,1,10,1,1,17
52,021/play/mat/,021_play_02_120617.mat,021/play/xdf/,12_06_17_02.xdf,021/play/avi/downsampled/,2017-12-06 16-29-37.avi,120617,play,21,2,10,1,1,17
53,021/bci/mat/,021_bci_01_120617.mat,021/bci/xdf/,12_06_17_01.xdf,021/bci/avi/downsampled/,2017-12-06 16-09-03.avi,120617,bci,21,1,10,1,1,17
54,021/bci/mat/,021_bci_02_120617.mat,021/bci/xdf/,12_06_17_02.xdf,021/bci/avi/downsampled/,2017-12-06 16-12-29.avi,120617,bci,21,2,10,1,1,17
55,021/watch/mat/,021_watch_01_120617.mat,021/watch/xdf/,12_06_17_01.xdf,021/watch/avi/downsampled/,2017-12-06 16-16-37.avi,120617,watch,21,1,7,1,1,17
56,021/watch/mat/,021_watch_02_120617.mat,021/watch/xdf/,12_06_17_02.xdf,021/watch/avi/downsampled/,2017-12-06 16-20-05.avi,120617,watch,21,2,7,1,1,17
57,022/play/mat/,022_play_01_120617.mat,022/play/xdf/,12_06_17_01.xdf,022/play/avi/downsampled/,2017-12-06 18-43-21.avi,120617,play,22,1,10,1,1,21
58,022/play/mat/,022_play_02_120617.mat,022/play/xdf/,12_06_17_02.xdf,022/play/avi/downsampled/,2017-12-06 18-46-39.avi,120617,play,22,2,10,1,1,21
59,022/bci/mat/,022_bci_01_120617.mat,022/bci/xdf/,12_06_17_01.xdf,022/bci/avi/downsampled/,2017-12-06 18-26-34.avi,120617,bci,22,1,10,1,1,21
60,022/bci/mat/,022_bci_02_120617.mat,022/bci/xdf/,12_06_17_02.xdf,022/bci/avi/downsampled/,2017-12-06 18-30-05.avi,120617,bci,22,2,10,1,1,21
61,022/watch/mat/,022_watch_01_120617.mat,022/watch/xdf/,12_06_17_01.xdf,022/watch/avi/downsampled/,2017-12-06 18-34-20.avi,120617,watch,22,1,7,1,1,21
62,022/watch/mat/,022_watch_02_120617.mat,022/watch/xdf/,12_06_17_02.xdf,022/watch/avi/downsampled/,2017-12-06 18-38-17.avi,120617,watch,22,2,7,1,1,21
63,023/play/mat/,023_play_01_120717.mat,023/play/xdf/,12_07_17_01.xdf,023/play/avi/downsampled/,2017-12-07 17-06-54.avi,120717,play,23,1,5,1,1,22
64,023/play/mat/,023_play_02_120717.mat,023/play/xdf/,12_07_17_02.xdf,023/play/avi/downsampled/,2017-12-07 17-10-27.avi,120717,play,23,2,5,1,1,22
65,023/bci/mat/,023_bci_01_120717.mat,023/bci/xdf/,12_07_17_01.xdf,023/bci/avi/downsampled/,2017-12-07 17-27-48.avi,120717,bci,23,1,10,1,1,22
66,023/bci/mat/,023_bci_02_120717.mat,023/bci/xdf/,12_07_17_02.xdf,023/bci/avi/downsampled/,2017-12-07 17-31-15.avi,120717,bci,23,2,10,1,1,22
67,023/watch/mat/,023_watch_01_120717.mat,023/watch/xdf/,12_07_17_01.xdf,023/watch/avi/downsampled/,2017-12-07 17-16-47.avi,120717,watch,23,1,4,1,1,22
68,023/watch/mat/,023_watch_02_120717.mat,023/watch/xdf/,12_07_17_02.xdf,023/watch/avi/downsampled/,2017-12-07 17-20-15.avi,120717,watch,23,2,4,1,1,22
69,024/play/mat/,024_play_01_121317.mat,024/play/xdf/,12_13_17_01.xdf,024/play/avi/downsampled/,2017-12-13 14-54-21.avi,121317,play,24,1,10,0,1,21
70,024/play/mat/,024_play_02_121317.mat,024/play/xdf/,12_13_17_02.xdf,024/play/avi/downsampled/,2017-12-13 15-00-48.avi,121317,play,24,2,10,0,1,21
71,024/bci/mat/,024_bci_01_121317.mat,024/bci/xdf/,12_13_17_01.xdf,024/bci/avi/downsampled/,2017-12-13 15-14-13.avi,121317,bci,24,1,7,0,1,21
72,024/bci/mat/,024_bci_02_121317.mat,024/bci/xdf/,12_13_17_02.xdf,024/bci/avi/downsampled/,2017-12-13 15-17-40.avi,121317,bci,24,2,7,0,1,21
73,024/watch/mat/,024_watch_01_121317.mat,024/watch/xdf/,12_13_17_01.xdf,024/watch/avi/downsampled/,2017-12-13 15-05-10.avi,121317,watch,24,1,3,0,1,21
